DELINGHA, -, CHN
month,day,hour,Direct Norm Rad,
 , , ,(Wh/sq.m),
1,1,1,0.0,
1,1,2,0.0,
1,1,3,0.0,
1,1,4,0.0,
1,1,5,0.0,
1,1,6,0.0,
1,1,7,0.0,
1,1,8,0.0,
1,1,9,14.0,
1,1,10,385.0,
1,1,11,647.0,
1,1,12,642.0,
1,1,13,742.0,
1,1,14,487.0,
1,1,15,401.0,
1,1,16,188.0,
1,1,17,294.0,
1,1,18,178.0,
1,1,19,5.0,
1,1,20,0.0,
1,1,21,0.0,
1,1,22,0.0,
1,1,23,0.0,
1,1,24,0.0,
1,2,1,0.0,
1,2,2,0.0,
1,2,3,0.0,
1,2,4,0.0,
1,2,5,0.0,
1,2,6,0.0,
1,2,7,0.0,
1,2,8,0.0,
1,2,9,0.0,
1,2,10,56.0,
1,2,11,134.0,
1,2,12,364.0,
1,2,13,117.0,
1,2,14,158.0,
1,2,15,274.0,
1,2,16,261.0,
1,2,17,84.0,
1,2,18,64.0,
1,2,19,3.0,
1,2,20,0.0,
1,2,21,0.0,
1,2,22,0.0,
1,2,23,0.0,
1,2,24,0.0,
1,3,1,0.0,
1,3,2,0.0,
1,3,3,0.0,
1,3,4,0.0,
1,3,5,0.0,
1,3,6,0.0,
1,3,7,0.0,
1,3,8,0.0,
1,3,9,3.0,
1,3,10,246.0,
1,3,11,565.0,
1,3,12,663.0,
1,3,13,482.0,
1,3,14,413.0,
1,3,15,529.0,
1,3,16,339.0,
1,3,17,236.0,
1,3,18,67.0,
1,3,19,1.0,
1,3,20,0.0,
1,3,21,0.0,
1,3,22,0.0,
1,3,23,0.0,
1,3,24,0.0,
1,4,1,0.0,
1,4,2,0.0,
1,4,3,0.0,
1,4,4,0.0,
1,4,5,0.0,
1,4,6,0.0,
1,4,7,0.0,
1,4,8,0.0,
1,4,9,0.0,
1,4,10,41.0,
1,4,11,164.0,
1,4,12,445.0,
1,4,13,108.0,
1,4,14,209.0,
1,4,15,216.0,
1,4,16,61.0,
1,4,17,9.0,
1,4,18,6.0,
1,4,19,0.0,
1,4,20,0.0,
1,4,21,0.0,
1,4,22,0.0,
1,4,23,0.0,
1,4,24,0.0,
1,5,1,0.0,
1,5,2,0.0,
1,5,3,0.0,
1,5,4,0.0,
1,5,5,0.0,
1,5,6,0.0,
1,5,7,0.0,
1,5,8,0.0,
1,5,9,0.0,
1,5,10,0.0,
1,5,11,50.0,
1,5,12,108.0,
1,5,13,231.0,
1,5,14,485.0,
1,5,15,217.0,
1,5,16,153.0,
1,5,17,333.0,
1,5,18,266.0,
1,5,19,20.0,
1,5,20,0.0,
1,5,21,0.0,
1,5,22,0.0,
1,5,23,0.0,
1,5,24,0.0,
1,6,1,0.0,
1,6,2,0.0,
1,6,3,0.0,
1,6,4,0.0,
1,6,5,0.0,
1,6,6,0.0,
1,6,7,0.0,
1,6,8,0.0,
1,6,9,0.0,
1,6,10,12.0,
1,6,11,98.0,
1,6,12,220.0,
1,6,13,316.0,
1,6,14,233.0,
1,6,15,279.0,
1,6,16,107.0,
1,6,17,16.0,
1,6,18,24.0,
1,6,19,0.0,
1,6,20,0.0,
1,6,21,0.0,
1,6,22,0.0,
1,6,23,0.0,
1,6,24,0.0,
1,7,1,0.0,
1,7,2,0.0,
1,7,3,0.0,
1,7,4,0.0,
1,7,5,0.0,
1,7,6,0.0,
1,7,7,0.0,
1,7,8,0.0,
1,7,9,15.0,
1,7,10,426.0,
1,7,11,736.0,
1,7,12,859.0,
1,7,13,860.0,
1,7,14,927.0,
1,7,15,912.0,
1,7,16,866.0,
1,7,17,764.0,
1,7,18,518.0,
1,7,19,56.0,
1,7,20,0.0,
1,7,21,0.0,
1,7,22,0.0,
1,7,23,0.0,
1,7,24,0.0,
1,8,1,0.0,
1,8,2,0.0,
1,8,3,0.0,
1,8,4,0.0,
1,8,5,0.0,
1,8,6,0.0,
1,8,7,0.0,
1,8,8,0.0,
1,8,9,0.0,
1,8,10,61.0,
1,8,11,300.0,
1,8,12,459.0,
1,8,13,537.0,
1,8,14,539.0,
1,8,15,545.0,
1,8,16,485.0,
1,8,17,343.0,
1,8,18,116.0,
1,8,19,1.0,
1,8,20,0.0,
1,8,21,0.0,
1,8,22,0.0,
1,8,23,0.0,
1,8,24,0.0,
1,9,1,0.0,
1,9,2,0.0,
1,9,3,0.0,
1,9,4,0.0,
1,9,5,0.0,
1,9,6,0.0,
1,9,7,0.0,
1,9,8,0.0,
1,9,9,2.0,
1,9,10,212.0,
1,9,11,531.0,
1,9,12,642.0,
1,9,13,742.0,
1,9,14,695.0,
1,9,15,716.0,
1,9,16,549.0,
1,9,17,434.0,
1,9,18,253.0,
1,9,19,10.0,
1,9,20,0.0,
1,9,21,0.0,
1,9,22,0.0,
1,9,23,0.0,
1,9,24,0.0,
1,10,1,0.0,
1,10,2,0.0,
1,10,3,0.0,
1,10,4,0.0,
1,10,5,0.0,
1,10,6,0.0,
1,10,7,0.0,
1,10,8,0.0,
1,10,9,0.0,
1,10,10,13.0,
1,10,11,83.0,
1,10,12,156.0,
1,10,13,350.0,
1,10,14,244.0,
1,10,15,464.0,
1,10,16,116.0,
1,10,17,181.0,
1,10,18,106.0,
1,10,19,15.0,
1,10,20,0.0,
1,10,21,0.0,
1,10,22,0.0,
1,10,23,0.0,
1,10,24,0.0,
1,11,1,0.0,
1,11,2,0.0,
1,11,3,0.0,
1,11,4,0.0,
1,11,5,0.0,
1,11,6,0.0,
1,11,7,0.0,
1,11,8,0.0,
1,11,9,1.0,
1,11,10,155.0,
1,11,11,456.0,
1,11,12,589.0,
1,11,13,694.0,
1,11,14,713.0,
1,11,15,625.0,
1,11,16,639.0,
1,11,17,514.0,
1,11,18,253.0,
1,11,19,8.0,
1,11,20,0.0,
1,11,21,0.0,
1,11,22,0.0,
1,11,23,0.0,
1,11,24,0.0,
1,12,1,0.0,
1,12,2,0.0,
1,12,3,0.0,
1,12,4,0.0,
1,12,5,0.0,
1,12,6,0.0,
1,12,7,0.0,
1,12,8,0.0,
1,12,9,2.0,
1,12,10,41.0,
1,12,11,388.0,
1,12,12,553.0,
1,12,13,354.0,
1,12,14,450.0,
1,12,15,478.0,
1,12,16,256.0,
1,12,17,289.0,
1,12,18,234.0,
1,12,19,41.0,
1,12,20,0.0,
1,12,21,0.0,
1,12,22,0.0,
1,12,23,0.0,
1,12,24,0.0,
1,13,1,0.0,
1,13,2,0.0,
1,13,3,0.0,
1,13,4,0.0,
1,13,5,0.0,
1,13,6,0.0,
1,13,7,0.0,
1,13,8,0.0,
1,13,9,2.0,
1,13,10,95.0,
1,13,11,366.0,
1,13,12,433.0,
1,13,13,411.0,
1,13,14,524.0,
1,13,15,606.0,
1,13,16,652.0,
1,13,17,185.0,
1,13,18,260.0,
1,13,19,26.0,
1,13,20,0.0,
1,13,21,0.0,
1,13,22,0.0,
1,13,23,0.0,
1,13,24,0.0,
1,14,1,0.0,
1,14,2,0.0,
1,14,3,0.0,
1,14,4,0.0,
1,14,5,0.0,
1,14,6,0.0,
1,14,7,0.0,
1,14,8,0.0,
1,14,9,0.0,
1,14,10,61.0,
1,14,11,271.0,
1,14,12,420.0,
1,14,13,448.0,
1,14,14,511.0,
1,14,15,467.0,
1,14,16,325.0,
1,14,17,200.0,
1,14,18,23.0,
1,14,19,0.0,
1,14,20,0.0,
1,14,21,0.0,
1,14,22,0.0,
1,14,23,0.0,
1,14,24,0.0,
1,15,1,0.0,
1,15,2,0.0,
1,15,3,0.0,
1,15,4,0.0,
1,15,5,0.0,
1,15,6,0.0,
1,15,7,0.0,
1,15,8,0.0,
1,15,9,0.0,
1,15,10,30.0,
1,15,11,174.0,
1,15,12,303.0,
1,15,13,178.0,
1,15,14,310.0,
1,15,15,203.0,
1,15,16,148.0,
1,15,17,106.0,
1,15,18,79.0,
1,15,19,1.0,
