SEVILLA, -, ESP
month,day,hour,Direct Norm Rad,
 , , ,(Wh/sq.m),
1,1,1,0.0,
1,1,2,0.0,
1,1,3,0.0,
1,1,4,0.0,
1,1,5,0.0,
1,1,6,0.0,
1,1,7,0.0,
1,1,8,0.0,
1,1,9,0.0,
1,1,10,0.0,
1,1,11,72.0,
1,1,12,235.0,
1,1,13,477.0,
1,1,14,650.0,
1,1,15,741.0,
1,1,16,699.0,
1,1,17,533.0,
1,1,18,189.0,
1,1,19,0.0,
1,1,20,0.0,
1,1,21,0.0,
1,1,22,0.0,
1,1,23,0.0,
1,1,24,0.0,
1,2,1,0.0,
1,2,2,0.0,
1,2,3,0.0,
1,2,4,0.0,
1,2,5,0.0,
1,2,6,0.0,
1,2,7,0.0,
1,2,8,0.0,
1,2,9,0.0,
1,2,10,215.0,
1,2,11,472.0,
1,2,12,727.0,
1,2,13,806.0,
1,2,14,826.0,
1,2,15,806.0,
1,2,16,732.0,
1,2,17,554.0,
1,2,18,175.0,
1,2,19,0.0,
1,2,20,0.0,
1,2,21,0.0,
1,2,22,0.0,
1,2,23,0.0,
1,2,24,0.0,
1,3,1,0.0,
1,3,2,0.0,
1,3,3,0.0,
1,3,4,0.0,
1,3,5,0.0,
1,3,6,0.0,
1,3,7,0.0,
1,3,8,0.0,
1,3,9,0.0,
1,3,10,139.0,
1,3,11,196.0,
1,3,12,92.0,
1,3,13,0.0,
1,3,14,14.0,
1,3,15,42.0,
1,3,16,85.0,
1,3,17,13.0,
1,3,18,0.0,
1,3,19,0.0,
1,3,20,0.0,
1,3,21,0.0,
1,3,22,0.0,
1,3,23,0.0,
1,3,24,0.0,
1,4,1,0.0,
1,4,2,0.0,
1,4,3,0.0,
1,4,4,0.0,
1,4,5,0.0,
1,4,6,0.0,
1,4,7,0.0,
1,4,8,0.0,
1,4,9,0.0,
1,4,10,216.0,
1,4,11,474.0,
1,4,12,726.0,
1,4,13,803.0,
1,4,14,820.0,
1,4,15,801.0,
1,4,16,729.0,
1,4,17,557.0,
1,4,18,213.0,
1,4,19,0.0,
1,4,20,0.0,
1,4,21,0.0,
1,4,22,0.0,
1,4,23,0.0,
1,4,24,0.0,
1,5,1,0.0,
1,5,2,0.0,
1,5,3,0.0,
1,5,4,0.0,
1,5,5,0.0,
1,5,6,0.0,
1,5,7,0.0,
1,5,8,0.0,
1,5,9,0.0,
1,5,10,143.0,
1,5,11,470.0,
1,5,12,650.0,
1,5,13,777.0,
1,5,14,784.0,
1,5,15,729.0,
1,5,16,600.0,
1,5,17,424.0,
1,5,18,206.0,
1,5,19,0.0,
1,5,20,0.0,
1,5,21,0.0,
1,5,22,0.0,
1,5,23,0.0,
1,5,24,0.0,
1,6,1,0.0,
1,6,2,0.0,
1,6,3,0.0,
1,6,4,0.0,
1,6,5,0.0,
1,6,6,0.0,
1,6,7,0.0,
1,6,8,0.0,
1,6,9,0.0,
1,6,10,222.0,
1,6,11,494.0,
1,6,12,716.0,
1,6,13,785.0,
1,6,14,805.0,
1,6,15,790.0,
1,6,16,724.0,
1,6,17,559.0,
1,6,18,227.0,
1,6,19,0.0,
1,6,20,0.0,
1,6,21,0.0,
1,6,22,0.0,
1,6,23,0.0,
1,6,24,0.0,
1,7,1,0.0,
1,7,2,0.0,
1,7,3,0.0,
1,7,4,0.0,
1,7,5,0.0,
1,7,6,0.0,
1,7,7,0.0,
1,7,8,0.0,
1,7,9,0.0,
1,7,10,226.0,
1,7,11,507.0,
1,7,12,736.0,
1,7,13,803.0,
1,7,14,808.0,
1,7,15,763.0,
1,7,16,629.0,
1,7,17,508.0,
1,7,18,231.0,
1,7,19,0.0,
1,7,20,0.0,
1,7,21,0.0,
1,7,22,0.0,
1,7,23,0.0,
1,7,24,0.0,
1,8,1,0.0,
1,8,2,0.0,
1,8,3,0.0,
1,8,4,0.0,
1,8,5,0.0,
1,8,6,0.0,
1,8,7,0.0,
1,8,8,0.0,
1,8,9,0.0,
1,8,10,221.0,
1,8,11,481.0,
1,8,12,737.0,
1,8,13,814.0,
1,8,14,831.0,
1,8,15,813.0,
1,8,16,746.0,
1,8,17,579.0,
1,8,18,213.0,
1,8,19,0.0,
1,8,20,0.0,
1,8,21,0.0,
1,8,22,0.0,
1,8,23,0.0,
1,8,24,0.0,
1,9,1,0.0,
1,9,2,0.0,
1,9,3,0.0,
1,9,4,0.0,
1,9,5,0.0,
1,9,6,0.0,
1,9,7,0.0,
1,9,8,0.0,
1,9,9,0.0,
1,9,10,223.0,
1,9,11,482.0,
1,9,12,735.0,
1,9,13,812.0,
1,9,14,826.0,
1,9,15,806.0,
1,9,16,737.0,
1,9,17,578.0,
1,9,18,253.0,
1,9,19,0.0,
1,9,20,0.0,
1,9,21,0.0,
1,9,22,0.0,
1,9,23,0.0,
1,9,24,0.0,
1,10,1,0.0,
1,10,2,0.0,
1,10,3,0.0,
1,10,4,0.0,
1,10,5,0.0,
1,10,6,0.0,
1,10,7,0.0,
1,10,8,0.0,
1,10,9,0.0,
1,10,10,234.0,
1,10,11,513.0,
1,10,12,739.0,
1,10,13,802.0,
1,10,14,824.0,
1,10,15,808.0,
1,10,16,743.0,
1,10,17,577.0,
1,10,18,247.0,
1,10,19,0.0,
1,10,20,0.0,
1,10,21,0.0,
1,10,22,0.0,
1,10,23,0.0,
1,10,24,0.0,
1,11,1,0.0,
1,11,2,0.0,
1,11,3,0.0,
1,11,4,0.0,
1,11,5,0.0,
1,11,6,0.0,
1,11,7,0.0,
1,11,8,0.0,
1,11,9,0.0,
1,11,10,223.0,
1,11,11,509.0,
1,11,12,734.0,
1,11,13,801.0,
1,11,14,817.0,
1,11,15,799.0,
1,11,16,735.0,
1,11,17,574.0,
1,11,18,258.0,
1,11,19,0.0,
1,11,20,0.0,
1,11,21,0.0,
1,11,22,0.0,
1,11,23,0.0,
1,11,24,0.0,
1,12,1,0.0,
1,12,2,0.0,
1,12,3,0.0,
1,12,4,0.0,
1,12,5,0.0,
1,12,6,0.0,
1,12,7,0.0,
1,12,8,0.0,
1,12,9,0.0,
1,12,10,220.0,
1,12,11,505.0,
1,12,12,732.0,
1,12,13,802.0,
1,12,14,817.0,
1,12,15,799.0,
1,12,16,735.0,
1,12,17,585.0,
1,12,18,274.0,
1,12,19,0.0,
1,12,20,0.0,
1,12,21,0.0,
1,12,22,0.0,
1,12,23,0.0,
1,12,24,0.0,
1,13,1,0.0,
1,13,2,0.0,
1,13,3,0.0,
1,13,4,0.0,
1,13,5,0.0,
1,13,6,0.0,
1,13,7,0.0,
1,13,8,0.0,
1,13,9,0.0,
1,13,10,239.0,
1,13,11,503.0,
1,13,12,760.0,
1,13,13,833.0,
1,13,14,851.0,
1,13,15,837.0,
1,13,16,777.0,
1,13,17,618.0,
1,13,18,255.0,
1,13,19,0.0,
1,13,20,0.0,
1,13,21,0.0,
1,13,22,0.0,
1,13,23,0.0,
1,13,24,0.0,
1,14,1,0.0,
1,14,2,0.0,
1,14,3,0.0,
1,14,4,0.0,
1,14,5,0.0,
1,14,6,0.0,
1,14,7,0.0,
1,14,8,0.0,
1,14,9,0.0,
1,14,10,240.0,
1,14,11,499.0,
1,14,12,753.0,
1,14,13,826.0,
1,14,14,842.0,
1,14,15,825.0,
1,14,16,765.0,
1,14,17,614.0,
1,14,18,300.0,
1,14,19,0.0,
1,14,20,0.0,
1,14,21,0.0,
1,14,22,0.0,
1,14,23,0.0,
1,14,24,0.0,
1,15,1,0.0,
1,15,2,0.0,
1,15,3,0.0,
1,15,4,0.0,
1,15,5,0.0,
1,15,6,0.0,
1,15,7,0.0,
1,15,8,0.0,
1,15,9,0.0,
1,15,10,241.0,
1,15,11,500.0,
1,15,12,752.0,
1,15,13,824.0,
1,15,14,840.0,
1,15,15,824.0,
1,15,16,764.0,
1,15,17,615.0,
1,15,18,306.0,
1,15,19,0.0,
