Sevilla, -, ESP
month,day,hour,Direct Norm Rad,
 , , ,(Wh/sq.m),
1,1,1,0.0,
1,1,2,0.0,
1,1,3,0.0,
1,1,4,0.0,
1,1,5,0.0,
1,1,6,0.0,
1,1,7,0.0,
1,1,8,0.0,
1,1,9,0.0,
1,1,10,126.0,
1,1,11,283.0,
1,1,12,545.0,
1,1,13,750.0,
1,1,14,810.0,
1,1,15,709.0,
1,1,16,485.0,
1,1,17,302.0,
1,1,18,0.0,
1,1,19,0.0,
1,1,20,0.0,
1,1,21,0.0,
1,1,22,0.0,
1,1,23,0.0,
1,1,24,0.0,
1,2,1,0.0,
1,2,2,0.0,
1,2,3,0.0,
1,2,4,0.0,
1,2,5,0.0,
1,2,6,0.0,
1,2,7,0.0,
1,2,8,0.0,
1,2,9,0.0,
1,2,10,347.0,
1,2,11,258.0,
1,2,12,280.0,
1,2,13,331.0,
1,2,14,432.0,
1,2,15,564.0,
1,2,16,463.0,
1,2,17,252.0,
1,2,18,126.0,
1,2,19,0.0,
1,2,20,0.0,
1,2,21,0.0,
1,2,22,0.0,
1,2,23,0.0,
1,2,24,0.0,
1,3,1,0.0,
1,3,2,0.0,
1,3,3,0.0,
1,3,4,0.0,
1,3,5,0.0,
1,3,6,0.0,
1,3,7,0.0,
1,3,8,0.0,
1,3,9,0.0,
1,3,10,53.0,
1,3,11,94.0,
1,3,12,154.0,
1,3,13,151.0,
1,3,14,312.0,
1,3,15,302.0,
1,3,16,116.0,
1,3,17,78.0,
1,3,18,44.0,
1,3,19,0.0,
1,3,20,0.0,
1,3,21,0.0,
1,3,22,0.0,
1,3,23,0.0,
1,3,24,0.0,
1,4,1,0.0,
1,4,2,0.0,
1,4,3,0.0,
1,4,4,0.0,
1,4,5,0.0,
1,4,6,0.0,
1,4,7,0.0,
1,4,8,0.0,
1,4,9,0.0,
1,4,10,375.0,
1,4,11,555.0,
1,4,12,687.0,
1,4,13,782.0,
1,4,14,813.0,
1,4,15,779.0,
1,4,16,681.0,
1,4,17,545.0,
1,4,18,359.0,
1,4,19,0.0,
1,4,20,0.0,
1,4,21,0.0,
1,4,22,0.0,
1,4,23,0.0,
1,4,24,0.0,
1,5,1,0.0,
1,5,2,0.0,
1,5,3,0.0,
1,5,4,0.0,
1,5,5,0.0,
1,5,6,0.0,
1,5,7,0.0,
1,5,8,0.0,
1,5,9,0.0,
1,5,10,369.0,
1,5,11,555.0,
1,5,12,690.0,
1,5,13,785.0,
1,5,14,817.0,
1,5,15,782.0,
1,5,16,684.0,
1,5,17,548.0,
1,5,18,359.0,
1,5,19,0.0,
1,5,20,0.0,
1,5,21,0.0,
1,5,22,0.0,
1,5,23,0.0,
1,5,24,0.0,
1,6,1,0.0,
1,6,2,0.0,
1,6,3,0.0,
1,6,4,0.0,
1,6,5,0.0,
1,6,6,0.0,
1,6,7,0.0,
1,6,8,0.0,
1,6,9,0.0,
1,6,10,473.0,
1,6,11,656.0,
1,6,12,735.0,
1,6,13,779.0,
1,6,14,794.0,
1,6,15,779.0,
1,6,16,735.0,
1,6,17,653.0,
1,6,18,463.0,
1,6,19,0.0,
1,6,20,0.0,
1,6,21,0.0,
1,6,22,0.0,
1,6,23,0.0,
1,6,24,0.0,
1,7,1,0.0,
1,7,2,0.0,
1,7,3,0.0,
1,7,4,0.0,
1,7,5,0.0,
1,7,6,0.0,
1,7,7,0.0,
1,7,8,0.0,
1,7,9,0.0,
1,7,10,482.0,
1,7,11,533.0,
1,7,12,618.0,
1,7,13,760.0,
1,7,14,804.0,
1,7,15,763.0,
1,7,16,716.0,
1,7,17,665.0,
1,7,18,476.0,
1,7,19,0.0,
1,7,20,0.0,
1,7,21,0.0,
1,7,22,0.0,
1,7,23,0.0,
1,7,24,0.0,
1,8,1,0.0,
1,8,2,0.0,
1,8,3,0.0,
1,8,4,0.0,
1,8,5,0.0,
1,8,6,0.0,
1,8,7,0.0,
1,8,8,0.0,
1,8,9,0.0,
1,8,10,233.0,
1,8,11,318.0,
1,8,12,479.0,
1,8,13,555.0,
1,8,14,552.0,
1,8,15,451.0,
1,8,16,324.0,
1,8,17,384.0,
1,8,18,473.0,
1,8,19,0.0,
1,8,20,0.0,
1,8,21,0.0,
1,8,22,0.0,
1,8,23,0.0,
1,8,24,0.0,
1,9,1,0.0,
1,9,2,0.0,
1,9,3,0.0,
1,9,4,0.0,
1,9,5,0.0,
1,9,6,0.0,
1,9,7,0.0,
1,9,8,0.0,
1,9,9,0.0,
1,9,10,176.0,
1,9,11,271.0,
1,9,12,271.0,
1,9,13,340.0,
1,9,14,388.0,
1,9,15,296.0,
1,9,16,359.0,
1,9,17,340.0,
1,9,18,141.0,
1,9,19,0.0,
1,9,20,0.0,
1,9,21,0.0,
1,9,22,0.0,
1,9,23,0.0,
1,9,24,0.0,
1,10,1,0.0,
1,10,2,0.0,
1,10,3,0.0,
1,10,4,0.0,
1,10,5,0.0,
1,10,6,0.0,
1,10,7,0.0,
1,10,8,0.0,
1,10,9,0.0,
1,10,10,523.0,
1,10,11,656.0,
1,10,12,738.0,
1,10,13,782.0,
1,10,14,798.0,
1,10,15,785.0,
1,10,16,738.0,
1,10,17,659.0,
1,10,18,529.0,
1,10,19,0.0,
1,10,20,0.0,
1,10,21,0.0,
1,10,22,0.0,
1,10,23,0.0,
1,10,24,0.0,
1,11,1,0.0,
1,11,2,0.0,
1,11,3,0.0,
1,11,4,0.0,
1,11,5,0.0,
1,11,6,0.0,
1,11,7,0.0,
1,11,8,0.0,
1,11,9,0.0,
1,11,10,324.0,
1,11,11,397.0,
1,11,12,391.0,
1,11,13,413.0,
1,11,14,429.0,
1,11,15,429.0,
1,11,16,337.0,
1,11,17,214.0,
1,11,18,350.0,
1,11,19,0.0,
1,11,20,0.0,
1,11,21,0.0,
1,11,22,0.0,
1,11,23,0.0,
1,11,24,0.0,
1,12,1,0.0,
1,12,2,0.0,
1,12,3,0.0,
1,12,4,0.0,
1,12,5,0.0,
1,12,6,0.0,
1,12,7,0.0,
1,12,8,0.0,
1,12,9,0.0,
1,12,10,523.0,
1,12,11,656.0,
1,12,12,741.0,
1,12,13,785.0,
1,12,14,801.0,
1,12,15,788.0,
1,12,16,744.0,
1,12,17,662.0,
1,12,18,533.0,
1,12,19,0.0,
1,12,20,0.0,
1,12,21,0.0,
1,12,22,0.0,
1,12,23,0.0,
1,12,24,0.0,
1,13,1,0.0,
1,13,2,0.0,
1,13,3,0.0,
1,13,4,0.0,
1,13,5,0.0,
1,13,6,0.0,
1,13,7,0.0,
1,13,8,0.0,
1,13,9,0.0,
1,13,10,523.0,
1,13,11,659.0,
1,13,12,741.0,
1,13,13,788.0,
1,13,14,804.0,
1,13,15,788.0,
1,13,16,744.0,
1,13,17,665.0,
1,13,18,536.0,
1,13,19,0.0,
1,13,20,0.0,
1,13,21,0.0,
1,13,22,0.0,
1,13,23,0.0,
1,13,24,0.0,
1,14,1,0.0,
1,14,2,0.0,
1,14,3,0.0,
1,14,4,0.0,
1,14,5,0.0,
1,14,6,0.0,
1,14,7,0.0,
1,14,8,0.0,
1,14,9,0.0,
1,14,10,523.0,
1,14,11,662.0,
1,14,12,744.0,
1,14,13,788.0,
1,14,14,804.0,
1,14,15,791.0,
1,14,16,747.0,
1,14,17,668.0,
1,14,18,539.0,
1,14,19,0.0,
1,14,20,0.0,
1,14,21,0.0,
1,14,22,0.0,
1,14,23,0.0,
1,14,24,0.0,
1,15,1,0.0,
1,15,2,0.0,
1,15,3,0.0,
1,15,4,0.0,
1,15,5,0.0,
1,15,6,0.0,
1,15,7,0.0,
1,15,8,0.0,
1,15,9,0.0,
1,15,10,523.0,
1,15,11,662.0,
1,15,12,744.0,
1,15,13,788.0,
1,15,14,804.0,
1,15,15,791.0,
1,15,16,750.0,
1,15,17,671.0,
1,15,18,542.0,
1,15,19,0.0,
